Source,Celestial event 1,Chronological relation, units, Celestial event 2,Number of units 
Ptolemy,1,precedes,days,2,354
Ptolemy,2,precedes,days,3,177
Ptolemy,3,precedes,days,4,36387
Ptolemy,4,precedes,days,5,7426
Ptolemy,5,precedes,days,6,X
Ptolemy,6,precedes,days,7,X
Ptolemy,7,precedes,days,8,X
Ptolemy,8,precedes,days,9,X
Ptolemy,9,precedes,days,10,X
Ptolemy,10,precedes,days,11,X
Ptolemy,11,precedes,days,12,X
Ptolemy,12,precedes,days,13,X
Ptolemy,13,precedes,days,14,X
Ptolemy,14,precedes,days,15,X
Ptolemy,15,precedes,days,16,X
